NUM,DESCRIPTION,HEIGHT,LEN,WIDTH,WEIGHT,PRICE
JAT-NTBL-602-D - Void,VERONA II Triple Manicure Table - Marble,29.5,16.5,19.75,79.0,0.0
JAT-NTBL-602-D,VERONA II Triple Manicure Table - Marble,6.5,39.0,20.0,152.0,275.0
AYC-RETURNSHIPPING - Void,Shipping Services,0.0,0.0,0.0,0.0,0.0
00-JAT-CVR-402,VERONA II Manicure Table - Gel Dryer Cover,0.625,22.0,5.0,2.0,10.0
JAT-KLNR-101,KEEN Pedicure Tub Liners,9.0,12.0,12.5,9.0,28.0
GTP-KTS-10,KEEN Toe Separator - Firm,10.0,14.0,14.0,10.0,36.0
GTP-KTS-101,KEEN Toe Separator - Soft,10.5,25.0,14.0,6.0,26.0
00-YAN-FAUC-004-T4,Pedicure Spa Plumbing - Faucet (Custom for T4),20.0,17.25,15.0,36.0,24.0
JAT-NTBL-500-A,VERONA Double Manicure Table - Middle Section,14.5,22.25,11.75,62.0,225.0
00-HON-SMPO-2896-WH,ARON - METTE Backwash Units Shampoo Bowl (White),13.0,25.0,24.0,45.0,139.0
HAI-TCSTL-105-BLK,HARMONY Technician/Cutting Stool,22.0,23.5,11.25,17.0,59.0
AYC-REPAIRS,Repair Services,0.0,0.0,0.0,0.0,0.0
AYC-SHIPPING,AYC Shipping Services,0.0,0.0,0.0,0.0,0.0
AYC-RETURNSHIPPING,AYC Shipping Services,0.0,0.0,0.0,0.0,0.0
00-YAN-BSH-214-B,IRVING - Big Foam Brush,2.75,1.75,1.75,1.0,14.0
AYC-SPA-LOTUS,LOTUS Pedicure Tub,0.0,0.0,0.0,92.0,700.0
AYC-SPA-FEDORA,FEDORA Pedicure Tub,0.0,0.0,0.0,105.0,800.0
AYC-SPA-SERENITY,SERENITY Pedicure Tub,0.0,0.0,0.0,91.0,700.0
AYC-SPA-ARROJO,ARROJO Pedicure Tub,0.0,0.0,0.0,100.0,700.0
00-HON-PMP-55,Styling Chair Pump,0.0,0.0,0.0,28.0,88.0
AYC-SPA-ALESSI,ALESSI Pedicure Tub,0.0,0.0,0.0,101.0,800.0
JAT-NTBL-500-C,VERONA Double Manicure Table - Marble,4.5,39.0,20.0,116.0,100.0
AYC-SPA-FIOR,FIOR Pedicure Tub,0.0,0.0,0.0,85.0,800.0
00-DON-PMP-31905,LINCOLN Barber Chair Pump,9.5,17.5,11.0,35.5,69.0
AYC-SPA-LENOIR,LENOIR Pedicure Tub,0.0,0.0,0.0,100.0,800.0
00-HON-PMP-12,Styling Chair Pump,9.5,17.5,11.0,15.5,32.0
00-HON-BS-55,Styling Chair Base,0.0,0.0,0.0,15.5,36.0
MED-MSTN-1,Massage Stone - Single XL,1.0,4.5,3.0,1.0,3.0
00-KAN-MBRD-03-A,SHIATSULOGIC PI Massage Chair - Actuator Mainboard,5.0,10.0,7.0,3.0,85.0
00-KAN-CTRL-03,SHIATSULOGIC PI - Control - Limit Switch,4.0,4.0,4.0,2.0,24.0
00-TAN-FIT-004,Fitting - Sprayer Holder,4.0,4.0,4.0,2.0,4.5
00-TAN-FIT-005,Fitting - Sprayer Holder,4.0,4.0,4.0,2.0,4.5
00-DON-TRM-5679,Styling Chair Base Trim,3.0,11.0,8.0,3.0,7.5
00-DON-TRM-31905,Barber Chair Base Trim,3.0,77.0,8.0,3.0,11.5
00-YAN-DRNAS-003-B,Drain Assembly - S-Trap,3.0,11.0,8.0,1.0,2.5
00-DON-HS-2806,Drain Hose for Backwash Unit,3.0,11.0,8.0,3.0,8.0
00-HON-PMP-13,Styling Chair Pump,9.0,17.5,11.0,17.0,48.0
YAN-KMSK-01,KEEN Medical Mask,4.0,8.0,4.0,1.5,2.54
HUI-BWSH-254-A,JANUS Backwash Unit - Chair,30.0,47.0,31.0,144.0,495.0
00-HON-BS-13,Styling Chair Base,0.0,0.0,0.0,15.5,28.0
MIN-CUCHR-JP-IV,Josephina Customer Chair (Ivory),15.0,33.0,23.0,47.0,191.11
MIN-CUCHR-JP-BLK,Josephina Customer Chair (Black),15.0,33.0,23.0,47.0,191.11
MIN-CUCHR-JP-BR,Josephina Customer Chair (Brown),15.0,33.0,23.0,47.0,191.11
MIN-CUCHR-NJ-GY,New Jersey Customer Chair (Gray),28.0,24.0,15.0,53.0,233.33
KAN-TCHR-1603,SHIATSULOGIC EX Massage Chair,19.0,42.0,32.0,145.0,599.0
MIN-CUCHR-NJ-IV,New Jersey Customer Chair (Ivory),28.0,24.0,15.0,53.0,233.33
MIN-CUCHR-NJ-BLK,New Jersey Customer Chair (Black),28.0,24.0,15.0,53.0,233.33
HON-BWSH-2922-BLK,KLYNE Backwash Unit with shampoo bowl and footrest,27.0,46.0,32.0,110.0,395.0
JAT-NRTBL-922,AVON II Reception Table - Q,44.0,57.5,28.0,400.0,750.0
HUI-SYCHR-254,JANUS Styling Chair,25.0,28.0,26.0,84.0,228.0
00-JAT-CVR-400,VERONA Manicure Table - Gel Dryer Cover,0.625,20.5,5.5,2.0,10.0
00-JAT-CVR-500,VERONA Double and Triple Manicure Table - Gel Dryer Cover,0.625,21.75,5.5,2.0,10.0
00-DON-BS-31905,LINCOLN Barber Chair Base,5.5,27.5,27.5,22.0,45.0
JAT-NPORK-9501-A,VERONA Polish Rack Axis - Rack,54.5,50.0,18.5,147.0,250.0
HAI-TCSTL-637-CRM,ALICE Technician Stool (Cream),11.0,21.0,21.0,18.0,48.0
HAI-TCSTL-10612-CRM,UMI Technician Stool (Cream),14.0,21.0,22.0,17.0,50.0
HAI-CUCHR-11804-CPO,VERSA Customer Chair (Cappuccino),26.0,28.0,15.0,40.0,88.0
DON-FCCHR-215001-A-BLK,PARKER Facial Bed with stool - Top (Black),26.0,33.0,16.0,63.0,100.0
DON-FCCHR-215001-B-BLK,PARKER Facial Bed with stool - Bottom (Black),21.0,33.0,9.0,61.0,100.0
DON-FCCHR-215001-A-WH,PARKER Facial Bed with stool - Top (White),26.0,33.0,16.0,63.0,100.0
DON-FCCHR-215001-B-WH,PARKER Facial Bed with stool - Bottom (White),21.0,33.0,9.0,61.0,100.0
MarketPlace P&H Fees,Marketplace - Process and handling fees,0.0,0.0,0.0,0.0,10.0
JAT-NPORK-9501-B,VERONA Polish Rack Axis - Drawer,15.5,50.0,19.0,127.0,450.0
JAT-NRTBL-844,AVON II Reception Table,40.0,51.0,22.0,300.0,700.0
BAO-TUB-033-WH,FLORENCE Pedicure Tub - Raw Base (White) without Glass Bowl,260.0,550.0,200.0,800.0,400.0
HUI-BWSH-253-B,DRAPER Backwash Unit - Bowl,14.0,24.0,22.0,43.0,100.0
HAI-TCSTL-10412-BG,TOTO Technician Stool (Burgundy),21.0,26.0,12.0,15.0,55.0
JAT-NTBL-411-A,AVON I Manicure Table - Bases,25.0,19.5,16.0,67.0,175.0
HUI-BWSH-254-B,JANUS Backwash Unit - Bowl,14.0,24.0,22.0,42.0,100.0
HUI-BWSH-260-B,ALTON Backwash Unit - Bowl,14.0,24.0,22.0,42.0,100.0
00-KAN-TCHRARM-77-LT,SHIATSULOGIC - 77 Armrest Light Color,9.0,15.0,26.5,28.0,105.0
JAT-NTBL-411-B,AVON I Manicure Table - Table Top,7.5,40.5,18.5,85.0,100.0
00-KAN-TCHRARM-77-DRK,SHIATSULOGIC - 77 Armrest Dark Color,9.0,15.0,26.5,28.0,105.0
KAN-TCHR-7703-CPOCA,SHIATSULOGIC PI Massage Chair,21.0,42.0,30.0,145.0,495.0
KAN-TCHR-7703-CPORD,SHIATSULOGIC PI Massage Chair,21.0,42.0,30.0,145.0,495.0
KAN-TCHRCVR-16-CFE,SHIATSULOGIC - Vibration Cover set (Coffee),12.0,44.0,25.0,27.0,120.0
KAN-TCHR-7703-CPO,SHIATSULOGIC PI Massage Chair,21.0,42.0,30.0,145.0,495.0
JAT-NTBL-422-A,AVON II Manicure Table - Bases,25.0,19.5,16.0,67.0,175.0
JAT-NTBL-422-B,AVON II Manicure Table - Table Top,7.5,40.5,18.5,85.0,100.0
