NUM,DESCRIPTION,HEIGHT,LEN,WIDTH,WEIGHT,PRICE
CON-NRTBL-312-A,SEDONA Reception Table - Side Cabinet,45.0,17.0,14.0,45.0,95.0
CON-NRTBL-611,BERKELEY Reception Table - Center Piece,40.0,50.0,17.0,135.0,495.0
CON-NRTBL-612,BERKELEY Reception Table with Display - Center Piece,47.0,46.0,19.0,125.0,495.0
CON-NRTBL-612-A,BERKELEY Reception Table - Side Cabinet,45.0,17.0,14.0,45.0,95.0
CON-NTBL-111-A,BERKELEY Manicure Table - Middle Section,9.0,23.0,18.0,22.0,60.0
CON-NTBL-111-B,BERKELEY Manicure Table - Sides,31.0,24.0,18.0,66.0,128.0
CON-NTBL-111-C-VA,BERKELEY Manicure Table - Full Marble (Vanilla),1.5,21.0,44.0,40.0,88.0
CON-NTBL-200-A,ALERA Manicure Table - Middle Section,9.0,23.0,18.0,22.0,60.0
CON-NTBL-200-B,ALERA Manicure Table - Sides,31.0,24.0,18.0,66.0,128.0
CON-NTBL-300-A,SEDONA Manicure Table - Middle Section,9.0,23.0,18.0,22.0,60.0
00-HON-BS-77,Styling Chair Base,0.0,0.0,0.0,18.0,42.0
CON-NTBL-300-B,SEDONA Manicure Table - Sides,31.0,24.0,18.0,66.0,128.0
ALA-DRY-421,HIGHLAND Hair Dryer LIBERTY- 1500,15.0,34.0,17.0,27.0,200.0
CON-NTBL-300-C-RS,SEDONA Manicure Table - Full Marble (Rose),3.0,20.0,40.0,40.0,88.0
CON-NTRLY-222,ALERA Pedi Trolley,19.0,15.0,16.0,30.0,69.0
CON-NTRLY-333,SEDONA Pedi Trolley,19.0,15.0,16.0,30.0,69.0
CON-NTRLY-633,BERKELEY Pedi Trolley,19.0,15.0,16.0,30.0,69.0
CON-SYSTA-222-BLK,MARKISON Wall Mount Styling Station (Black),11.0,38.0,18.0,38.0,78.0
00-TAN-DRNAS-01,Shampoo Bowl - Plastic Drain Assembly,5.0,12.0,12.0,1.0,4.95
00-TAN-FIT-007,Fitting - I Connector,2.0,1.5,1.5,1.0,4.5
00-TAN-HS-009,Pedicure Spa Plumbing - Sprayer Head Hose,5.0,12.0,12.0,1.0,6.0
00-TAN-SPYHD-006,Pedicure Spa Plumbing - Sprayer Head,5.0,12.0,12.0,1.0,5.0
00-TAN-SPYHD-009,Pedicure Spa Plumbing - Sprayer Head,5.0,12.0,12.0,1.0,7.95
00-XIE-ADPTR-02,LED Adapter,2.25,3.0,1.75,1.0,10.0
00-XIE-CTRL-003,Control - Air Button,2.5,1.75,1.75,1.0,3.75
00-XIE-CTRLB-007 - Inactive,Control Box - 3 Air and 1 Continuous Outlets with Timer,2.5,5.125,4.375,2.0,18.0
00-XIE-CVR-02,LED Cover,3.5,3.375,3.375,1.0,10.0
00-XIE-LGHT-02,LED Light,1.75,2.0,2.0,1.0,15.0
00-XIE-PVC-63015 - Void,PVC Pipe for Air Control Button,4.5,39.0,20.0,109.0,1.0
DON-APCHR-0310 - Inactive,KENSLEY All Purpose Styling Chair,27.5,27.0,26.0,105.0,272.0
DON-APCHR-22201 - Void,COLLINS All Purpose Chair,26.0,24.5,25.0,78.5,245.0
DON-APCHR-39918,MILLER All Purpose Chair,24.0,27.5,23.5,78.0,188.0
DON-BBCHR-22902-BLK,BUCHANAN Barber Chair (Black),41.0,33.0,31.0,165.0,402.0
DON-BBCHR-31905-BLK,LINCOLN Barber Chair (Black),42.5,30.5,33.5,220.0,495.0
DON-BWSH-2806,SOUTHLAKE Backwash Unit Shampoo Chair,28.625,46.75,27.125,88.0,300.0
YAL-BBCHR-31906,KENNEDY Barber Chair,32.0,31.0,29.0,130.0,529.0
DON-BWSH-2811,CONTI Backwash - Shampoo Bed,30.75,48.25,28.75,80.0,300.0
DON-BWSH-2822,ESTELLE Backwash - Shampoo Bed,30.75,48.25,28.75,85.0,300.0
DON-BWSH-32802,BEDFORD Backwash Shampoo Unit,34.25,60.0,27.125,180.0,375.0
DON-CUSHR-2779-BLK,OTT Waiting Chair (Black),9.0,27.5,19.0,22.5,50.0
DON-DYCHR-2431,EDISON Hair Dryer Chair,17.5,33.0,21.0,54.5,92.0
DON-DYCHR-24331005-A,ESTELLE Hair Dryer Chair Top Seat,22.0,26.0,26.0,37.0,182.0
DON-DYCHR-24332811-A,CONTI Hair Dryer Chair Top Seat,20.0,28.0,25.0,41.0,154.0
DON-FCAAP-201,FORNEY Facial steamer,14.0,36.5,14.0,26.5,145.0
DON-FCAAP-206,COPPELL Magnifying Lamp,6.5,33.0,19.0,10.0,65.0
HAI-CUCHR-11801-CFE,BIRCH Customer Chair (Coffee),25.0,27.0,15.0,40.0,149.0
DON-FCAAP-214,IRVING 8-Function Facial Machine,20.0,39.5,25.5,84.0,589.0
DON-FCAPP-1000,PLANO Facial Steamer,13.0,35.5,18.5,21.0,110.0
DON-FCAPP-205,COPPELL Magnifying Lamp,33.5,19.0,6.5,22.0,65.0
HAI-TCSTL-10412-BLK,TOTO Technician Stool (Black),21.0,26.0,12.0,15.0,55.0
DON-FCAPP-3019,SONA Skin Scanner,18.0,24.0,18.0,22.0,192.0
DON-FCCHR-215001-BLK,PARKER Facial Bed with stool (Black),27.0,45.0,15.0,100.0,162.0
DON-FCCHR-215001-WH,PARKER Facial Bed with stool (White),27.0,45.0,15.0,100.0,162.0
DON-FCCHR-3739-A-BLK,SACHSE Facial Bed - Top (Black),27.0,45.5,19.0,52.0,150.0
DON-FCCHR-3739-A-WH,SACHSE Facial Bed - Top (White),27.0,45.5,19.0,52.0,150.0
DON-FCCHR-3739-B-BLK,SACHSE Facial Bed - Base (Black),17.5,40.0,27.0,54.0,250.0
DON-FCCHR-3739-B-WH,SACHSE Facial Bed - Base (White),17.5,40.0,27.0,54.0,250.0
DON-DRY-0100-A,IRIS Wall mount hair dryer - Arm,7.0,40.0,11.0,19.0,100.0
DON-DRY-0100-B,IRIS Wall mount hair dryer - Body,17.0,23.0,16.0,17.0,200.0
DON-DRY-3501,FUTURA Roller Ball Standing Hair Dryer,17.0,33.0,23.0,37.0,442.0
DON-MGTBL-212,SANGER Massage Bed,7.0,72.5,26.0,70.5,145.0
DON-NDRY-501,ADELE Nail & Foot Dryer,12.5,15.75,10.5,13.0,55.0
DON-NTBL-2714-BLK,TAYLOR Foldable Manicure Table (Black),32.0,23.0,23.0,80.0,172.0
DON-NTBL-8271,ESME Collapsable Nail Table,9.0,45.0,22.0,31.0,78.0
DON-PDSTL-001-BLK - Void,TERRELL Facial Stool (Black),20.0,19.5,8.0,11.5,25.0
DON-PDSTL-001-WH - Void,TERRELL Facial Stool (White),20.0,19.5,8.0,11.5,25.0
DON-PDSTL-9010-BLK,KELLY Esthetician Stool (Black),18.5,13.0,19.0,18.0,58.0
DON-PDSTL-9010-WH,KELLY Esthetician Stool (White),18.5,13.0,19.0,18.0,58.0
DON-SAAPP-209,KELLER Sterilizer,11.5,16.5,10.5,14.5,68.0
DON-SAAPP-389,DENTON UV Sterilizer,19.0,17.0,11.0,21.5,120.0
DON-SMPO-011,LISBON Shampoo bowl,14.0,27.0,24.0,65.0,92.0
DON-SMPO-120,CAMDEN Shampoo Bowl,14.0,23.0,22.0,10.0,60.0
DON-SMPO-121,CAROL Shampoo Bowl,11.0,22.5,22.0,10.0,60.0
KIN-SMPO-134,SHELBY Shampoo Bowl - Portable,10.5,21.5,21.5,9.5,30.0
00-DON-SMPO-2806-BLK,SOUTHLAKE - CONTI - ESTELLE Backwash Units Shampoo Bowl (Black),13.5,24.625,22.5,45.0,139.0
00-DON-SMPO-2806-WH,SOUTHLAKE - CONTI - ESTELLE Backwash Units Shampoo Bowl (White),13.5,24.625,22.5,45.0,139.0
DON-SPCHR-22022-BLK,FERRIS Shampoo Chair (Black),13.75,36.25,24.5,51.0,120.0
DON-SPCHR-22023-BLK,AZLE Shampoo Chair (Black),8.0,24.0,41.5,34.5,65.0
DON-SPCHR-22025-BLK,COLEMAN Shampoo Chair (Black),13.5,28.0,24.0,42.5,92.0
DON-SYCHR-0310,KENSLEY Styling Chair,0.0,27.0,27.5,95.0,240.0
DON-SYCHR-1005,ESTELLE Styling Chair,25.5,25.5,24.5,70.0,172.0
DON-SYCHR-1015,GORDON Styling Chair,25.5,25.0,26.0,70.0,180.0
DON-SYCHR-2026,ORIN Styling Chair,25.5,25.5,24.5,67.0,180.0
DON-SYCHR-21018,CAMPBELL Styling Chair,26.0,25.5,25.0,72.0,185.0
DON-SYCHR-2115,CONTI Styling Chair,26.0,25.5,25.5,71.0,172.0
DON-SYCHR-22124,HILLCREST Styling Chair,26.0,25.0,25.0,70.0,175.0
DON-SYCHR-3710 - Inactive,SABI Styling Chair,24.0,26.0,26.0,75.0,190.0
DON-SYCHR-5679,COIT Styling Chair,26.0,27.0,24.5,73.0,145.0
DON-SYCHR-8824 - Inactive,CURTIS Styling Chair,28.5,25.0,26.5,75.0,212.0
DON-TRLY-100 - Void,DANIELLE Salon Trolley,16.0,31.5,9.0,19.0,57.0
DON-TRLY-2703-WH,BAYLOR Beauty Trolley (White),9.0,34.0,18.0,30.0,56.0
DON-TRLY-7552,BERWICK Trolley,38.0,18.0,20.0,70.0,132.0
DON-TWAPP-207,LANCASTER Hot Towel Warmer,15.5,20.5,14.5,28.5,120.0
DON-WXAPP-612,HUTCHINS Single Wax Warmer,7.0,11.5,8.5,4.0,32.0
DON-WXAPP-632,KEANE Paraffin Wax Warmer,19.5,11.0,12.0,8.5,65.0
DPI-NTBL-3488-A-WH,Glasglow Manicure Table - Cabinets,25.0,22.0,18.0,46.0,200.0
DPI-NTBL-3488-B-WH,Glasglow Manicure Table - Glass Top,5.0,45.0,22.0,30.0,175.0
DPI-NTRLY-5153-BLK,Glasglow Pedi Trolley with Pipes,26.0,18.0,18.0,45.0,95.0
DPI-NTRLY-5153-WH,Glasglow Pedi Trolley with Pipes,26.0,18.0,18.0,45.0,95.0
DPI-NTBL-3488-A-BLK,Glasglow Manicure Table - Cabinets,25.0,22.0,18.0,46.0,200.0
DPI-NTBL-3488-B-BLK,Glasglow Manicure Table - Glass Top,5.0,45.0,22.0,30.0,175.0
ENW-SBND-001,KEEN Brown Sanding band - Coarse,12.0,8.0,17.0,10.0,140.0
HUI-BWSH-253-A,DRAPER Backwash Unit - Chair,33.0,38.0,31.0,146.0,625.0
ENW-SBND-003,KEEN Brown Sanding band - Fine,12.0,8.0,17.0,10.0,140.0
ENW-SBND-002,KEEN Brown Sanding band - Medium,12.0,8.0,17.0,10.0,140.0
ENW-KLMP-9286,KEEN Slimline Daylight Led,7.5,29.75,2.375,3.5,32.0
FOO-LNR-120,FOOTSIEBATH Plus Spa - Disposable Liner,14.0,14.0,16.0,10.0,58.0
FOO-SPA-120,FOOTSIEBATH Plus Spa,11.0,15.0,16.0,9.0,68.0
XIN-TWAPP-15,DERMALOGIC Towel Warmer,17.0,20.0,14.0,17.0,72.0
XIN-TWAPP-30,DERMALOGIC Towel Warmer,20.0,18.0,20.0,28.0,100.0
EVG-KSTK-001,KEEN Wooden Sticks,17.0,19.0,7.0,32.0,29.0
EVG-KSTK-001-A,KEEN Wooden Sticks,14.0,14.5,6.0,14.0,26.0
EVG-KSTK-002,KEEN Wooden Sticks,19.0,12.5,8.0,22.0,36.0
00-YAN-DRNAS-003,Pedicure Spa Plumbing - Drain Assembly,3.5,18.5,6.0,3.0,28.0
00-YAN-DRNAS-005 - inactive,Pedicure Spa Plumbing - Drain Assembly,4.0,14.0,8.5,2.0,28.0
00-YAN-FAUC-201,Shampoo Bowl - Faucet,3.0,10.5,8.5,3.0,42.0
00-YAN-FAUC-202,Shampoo Bowl - Faucet,2.5,16.0,10.0,4.0,42.0
00-YAN-FAUC-204,Shampoo Bowl - Faucet,3.0,10.5,8.5,3.0,39.0
00-YAN-HS-012,Pedicure Spa Plumbing - Sprayer Head Hose,5.0,12.0,12.0,1.0,7.95
00-YAN-HS-022,Pedicure Spa Plumbing - Sprayer Head Hose,5.0,12.0,12.0,1.0,7.95
00-YAN-SPYHD-005,Pedicure Spa Plumbing - Sprayer Head,5.0,12.0,12.0,1.0,5.0
00-YAN-SPYHD-011 - inactive,Pedicure Spa Plumbing - Sprayer Head,5.0,12.0,12.0,1.0,8.95
YAN-FCAPP-214,IRVING 8-Function Facial Machine,20.5,39.0,26.0,80.0,629.0
YAN-TSAPP-120,WATKINS 120 Towel Steamer,29.5,21.0,20.0,47.5,375.0
YAN-TSAPP-360,WATKINS 360 Towel Steamer,61.5,22.5,26.5,112.0,950.0
YAN-TSAPP-72,WATKINS 72 Towel Steamer,21.5,21.0,20.0,39.0,275.0
YAN-TSAPP-48,WATKINS 48 Towel Steamer,22.0,22.0,22.0,35.0,225.0
00-JAT-NTBL-AMRST-BLK,Manicure Table Armrest,1.5,17.5,3.75,2.0,7.5
JAT-NTRLY-941,VERONA Pedi Trolley,23.5,22.0,15.5,64.0,100.0
JAT-NTRLY-942,VERONA II Pedi Trolley,22.0,15.75,15.5,40.0,85.0
JAT-NDRY-521-A,VERONA Nail dryer table part - Top and Base,13.0,55.0,16.5,125.0,159.0
JAT-NDRY-521-B,VERONA Nail dryer table part - Marble,2.5,53.0,18.5,86.0,159.0
JAT-NDRY-521-C,VERONA Nail dryer table part - Sides,12.5,22.0,14.5,33.0,159.0
JAT-NDRY-521-D,VERONA Nail dryer table part - Holder,10.25,13.25,11.0,13.0,159.0
JAT-NDRY-621-A,VERONA II Nail dryer table part - Top,8.75,59.0,19.75,119.0,200.0
JAT-NDRY-621-B,VERONA II Nail dryer table part - Marble,21.75,60.75,3.5,119.0,200.0
JAT-NDRY-621-C,VERONA II Nail dryer table part - Base,10.0,58.5,20.5,69.0,200.0
JAT-NDRY-621-D,VERONA II Nail dryer table part - Middle Section,18.5,40.25,14.5,70.0,200.0
JAT-NDRY-721-A,VERONA II Square Nail dryer table part - Top and Base,13.75,24.75,24.75,83.0,375.0
JAT-NDRY-721-B,VERONA II Square Nail dryer table part - Middle Section,22.75,16.5,12.5,35.0,275.0
JAT-NPORK-7501,VERONA Polish Rack,2.75,43.75,38.25,30.0,75.0
JAT-NPORK-7502,VERONA II Polish Rack,38.25,43.75,2.75,29.0,80.0
JAT-NPORK-8501-A,VERONA Polish Rack Center with 360 degree swivel - Top,8.25,48.5,15.75,46.0,200.0
JAT-NPORK-8501-B,VERONA Polish Rack Center with 360 degree swivel - Base,24.0,19.5,19.5,64.0,167.0
JAT-NPORK-8502-A,VERONA II Polish Rack Center with 360 degree swivel - Top,12.5,51.0,16.0,88.0,200.0
JAT-NPORK-8502-B,VERONA II Polish Rack Center with 360 degree swivel - Base,21.75,21.75,21.75,77.0,167.0
JAT-NRTBL-711-A,VERONA Reception Table - Middle Section,37.75,36.25,22.0,223.0,600.0
JAT-NRTBL-711-B,VERONA Reception Table - Left Side,41.75,19.0,12.0,82.0,100.0
JAT-NRTBL-711-C,VERONA Reception Table - Right Side,41.75,19.0,12.0,81.0,100.0
JAT-NRTBL-722-A,VERONA II Reception Table - Middle Section,37.75,36.25,22.0,150.0,600.0
JAT-NRTBL-722-B,VERONA II Reception Table - Left Side,41.75,19.0,12.0,75.0,100.0
JAT-NRTBL-722-C,VERONA II Reception Table - Right Side,41.75,19.0,12.0,75.0,100.0
JAT-NTBL-400-A,VERONA Manicure Table without Marble top,17.5,30.25,25.25,99.0,160.0
JAT-NTBL-400-B,VERONA Manicure Table - Full Marble,20.0,42.0,4.25,58.0,68.0
JAT-NTBL-402-A,VERONA II Manicure Table - Bases,23.5,19.5,15.75,62.0,160.0
JAT-NTBL-402-B,VERONA II Manicure Table - Table Top,7.5,41.75,17.75,81.0,68.0
JAT-NTBL-502-A,VERONA II Double Manicure Table - Middle Section,14.5,22.25,11.75,33.0,225.0
JAT-NTBL-502-B,VERONA II Double Manicure Table - Bases,29.25,29.5,16.5,119.0,225.0
JAT-NTBL-602-A,VERONA II Triple Manicure Table - Middle Section,17.25,22.25,14.5,48.0,235.0
JAT-NTBL-602-B,VERONA II Triple Manicure Table - Bases,29.5,16.5,19.75,82.0,235.0
JAT-NTBL-602-C,VERONA II Triple Manicure Table - Bases,29.5,16.5,19.75,79.0,235.0
00-JFC-DRY-005-B,GROVE Hair Dryer - Casters and bracket,2.5,13.5,15.0,4.0,38.0
JFC-DRY-005-A,Apollo Hair Dryer,35.0,18.0,16.0,30.0,172.0
JUN-KGJR-025 - Void,KEEN Glass Jar - 21oz,14.0,9.0,18.0,23.0,50.0
JUN-KGJR-035 - Void,KEEN Glass Jar - 37oz,13.0,12.0,18.0,27.0,63.0
00-XIT-DRNAS-006,Pedicure Spa Plumbing - Drain Assembly,3.5,10.5,7.0,2.0,28.0
00-XIT-DRNAS-31,Shampoo Bowl - Metal Drain Assembly,4.5,4.5,4.0,1.0,8.95
00-XIT-FAUC-002,Pedicure Spa Plumbing - Faucet,3.75,9.75,3.0,3.0,22.0
00-XIT-FAUC-004,Pedicure Spa Plumbing - Faucet,3.25,4.75,3.0,3.0,24.0
00-XIT-FAUC-205,Shampoo Bowl - Faucet,2.75,13.25,7.0,4.0,38.0
00-XIT-SPYHD-015,Pedicure Spa Plumbing - Sprayer Head,4.0,2.0,1.75,1.0,9.95
00-XIT-SPYHD-031,Shampoo Bowl - Sprayer Head,5.0,12.0,12.0,1.0,5.25
KEL-BBCHR-2096,VINTAGE Barber Chair,0.0,0.0,0.0,250.0,945.0
KEL-PDCHR-5056,INDEPENDENCE Pedicure Chair and Stool,0.0,0.0,0.0,120.0,588.0
KEL-SYCHR-1173,PRESIDENTIAL Styling Chair with Stainless Square Base & Pump,0.0,0.0,0.0,123.0,322.0
KEL-SYSTL-101-DRKCHY,Deluxe Styling Station (Dark Cherry),0.0,0.0,0.0,400.0,773.0
KEL-SYSTL-201-DRKCHY,Double Deluxe Styling Station (Dark Cherry),0.0,0.0,0.0,440.0,873.0
KEL-SYSTL-201-ESP,Double Deluxe Styling Station (Espresso),0.0,0.0,0.0,440.0,873.0
KEL-SYSTL-201-LTCHY - Void,Double Deluxe Styling Station,0.0,0.0,0.0,0.0,873.0
00-KIN-APPHDR-052,Appliance Holder - Crimped,5.0,12.0,12.0,1.0,3.95
00-KIN-APPHDR-056,Appliance Holder - Opened,5.0,12.0,12.0,1.0,2.95
00-KIN-APPHDR-057,Appliance Holder - Crimped,5.0,12.0,12.0,1.0,2.95
00-KIN-APPHDR-058,Appliance Holder - Opened,5.0,12.0,12.0,1.0,2.95
00-KIN-APPHDR-059,Appliance Holder - Crimped,5.0,12.0,12.0,1.0,3.5
KIN-APPHDR-009,Appliance holder - Desktop,5.0,10.0,7.5,4.0,21.95
KIN-APPHDR-009-A,Appliance holder - Wall Mounted,5.0,10.5,7.5,1.5,13.95
KIN-APPHDR-035,Appliance holder - Cart Mounted,4.0,11.0,5.0,2.0,9.5
KIN-SERTY-011,BAILEY Service Tray - Aluminum,7.0,21.0,21.0,10.0,35.0
KIN-SERTY-023,CALEB Folding Service Tray,6.0,34.0,15.0,8.0,34.0
KIN-TRLY-101,CLAIRE Salon Trolley - Lockable,9.0,32.0,16.0,19.0,62.0
00-FRK-DP-001,LITTLE GIANT - Discharge Pump,6.5,8.75,6.5,7.5,135.0
00-LUR-JET-004,LURACO Pipeless MAGNA Jet,5.0,12.0,12.0,4.5,90.0
00-LUR-JET-004-HD,LURACO Pipeless MAGNA Jet Head,5.0,5.0,5.0,2.0,40.0
00-LUR-JET-005,LURACO Pipeless Jet,5.0,12.0,12.0,4.5,65.0
00-LUR-JET-005-CP,LURACO Pipeless Jet Cap,1.5,3.0,3.0,1.0,25.0
00-LUR-JET-006,LURACO Dura Jet III w/LED,5.0,12.0,12.0,5.0,95.0
00-LUR-JET-007 -  Void,LURACO Pipeless MAGNA Jet with LED,0.0,0.0,0.0,0.0,125.0
00-ORY-LGHT-04-A,LED Light - Light,2.5,2.0,2.0,2.5,15.0
00-ORY-LGHT-04-B,LED Light - Housing,2.5,3.25,3.25,1.0,10.0
00-ORY-LGHT-04-C,LED Light - Rubber Gasket,0.125,3.125,3.125,1.0,5.0
00-ORY-LGHT-04-D,LED Light - Black Plastic Nut,0.5,3.25,3.25,1.0,5.0
00-ORY-LGHT-04-E,LED Light - Adaptor,2.5,7.0,8.25,3.0,12.0
00-MOT-ACT-005-A,SHIATSULOGIC Full-Function Chair - AS005 Seat Motor,4.75,19.0,10.5,5.0,55.0
00-MOT-ACT-005-B,SHIATSULOGIC Full-Function Chair - AS005 Back Motor,4.75,19.0,10.5,5.0,55.0
00-MOT-ACT-005-C,SHIATSULOGIC Full-Function Chair - AS005 Control Box,0.0,0.0,0.0,2.0,45.0
00-MOT-ACT-005-D,SHIATSULOGIC Full-Function Chair - AS005 Hand Controller,3.0,6.5,3.0,2.0,45.0
00-PUR-DP-002-A,HANNING - Discharge Pump Big Rubber Adapter,2.5,1.75,1.75,1.0,8.85
00-PUR-DP-002-B,HANNING - Discharge Pump Small Rubber Adapter,2.5,1.5,1.5,1.0,7.65
00-PUR-DP-002-C,HANNING - Discharge Pump Smaller Clamp,0.5,2.0,1.5,1.0,1.65
00-PUR-DP-002-D,HANNING - Discharge Pump Big Clamp,0.5,2.5,2.0,1.0,1.35
00-PUR-DP-002-E,HANNING - Discharge Pump Power Cord,0.25,7.5,7.0,1.0,8.25
00-PUR-DP-002-F,HANNING - Discharge Pump Motor,5.0,6.0,3.5,5.0,50.0
DON-DYCHR-24331005-B,ESTELLE Hair Dryer Chair Base,14.0,33.0,17.0,19.0,182.0
KAN-TCHR-5103,SHIATSULOGIC PI PI Massage Chair,18.5,42.0,30.0,136.0,599.0
KAN-TCHR-700,SHIATSULOGIC CX Vibration Massage Chair,20.0,37.0,30.0,68.0,450.0
KAN-TCHRCVR-03-A-BG - Inactive,SHIATSULOGIC - Air Pressure Cover Set (Burgundy),13.0,33.5,24.0,23.5,95.0
KAN-TCHRCVR-03-A-BLK - Inactive,SHIATSULOGIC - Air Pressure Cover Set (Black),13.0,33.5,24.0,23.5,95.0
KAN-TCHRCVR-03-A-CA - Inactive,SHIATSULOGIC - Air Pressure Cover Set (Cashmere),13.0,33.5,24.0,23.5,95.0
JAT-NTBL-600-A,VERONA Triple Manicure Table - Middle Section,17.25,22.25,14.5,49.0,0.0
KAN-TCHRCVR-03-A-CPO - Inactive,SHIATSULOGIC - Air Pressure Cover Set (Cappucinno),13.0,33.5,24.0,23.5,95.0
KAN-TCHRCVR-03-A-RD - Inactive,SHIATSULOGIC - Air Pressure Cover Set (Red),13.0,33.5,24.0,23.5,95.0
KAN-TCHRCVR-03-A-SD - Inactive,SHIATSULOGIC - Air Pressure Cover Set (Sand),13.0,33.5,24.0,23.5,95.0
00-YAN-BSH-214-D,IRVING - Big Hair Brush,3.0,2.0,2.0,1.0,16.8
KAN-TCHRCVR-03-BG,SHIATSULOGIC - Vibration Cover set (Burgundy),9.0,43.0,25.0,17.5,95.0
KAN-TCHRCVR-03-BLK,SHIATSULOGIC - Vibration Cover set (Black),9.0,43.0,25.0,17.5,95.0
KAN-TCHRCVR-03-CA,SHIATSULOGIC - Vibration Cover set (Cashmere),9.0,43.0,25.0,17.5,95.0
KAN-TCHRCVR-03-CFE,SHIATSULOGIC - Vibration Cover set (Coffee),9.0,43.0,25.0,17.5,95.0
KAN-TCHRCVR-03-CPO,SHIATSULOGIC - Vibration Cover set (Cappuccino),9.0,43.0,25.0,17.5,95.0
KAN-TCHRCVR-03-RD,SHIATSULOGIC  - Vibration Cover set (Red),9.0,43.0,25.0,17.5,95.0
HUI-SYCHR-253,DRAPER Styling Chair,25.0,26.0,25.0,95.0,228.0
KAN-TCHRCVR-03-SD,SHIATSULOGIC - Vibration Cover set (Sand),9.0,43.0,25.0,17.5,95.0
KAN-TCHRCVR-22-IVCPO,SHIATSULOGIC - FLORENCE Vibration Cover Set (Ivory - Cappucinno),9.0,43.0,25.0,15.0,105.0
YAL-BBCHR-31907,DELANO Barber Chair,32.0,31.0,31.0,155.0,599.0
KAN-TCHRCVR-22-IVGY,SHIATSULOGIC - FLORENCE Vibration Cover Set (Ivory - Grey),9.0,43.0,25.0,15.0,105.0
KAN-TCHRCVR-25-CPOSD,SHIATSULOGIC - SERENITY Vibration Cover Set (Cappuccino - Sand),9.0,43.0,25.0,15.0,105.0
KAN-TCHRCVR-25-RDIV,SHIATSULOGIC - SERENITY Vibration Cover Set (Red - Ivory),9.0,43.0,25.0,15.0,105.0
KAN-TCHRCVR-26-GYIV,SHIATSULOGIC - LILY Vibration Cover Set (Grey - Ivory),9.0,43.0,25.0,15.0,105.0
KAN-TCHRCVR-26-RDIV,SHIATSULOGIC - LILY Vibration Cover Set (Red - Ivory),9.0,43.0,25.0,15.0,105.0
JAT-NTBL-600-B,VERONA Triple Manicure Table - Bases,29.5,16.5,19.75,80.0,0.0
KAN-TCHRCVR-27-BGIV,SHIATSULOGIC - LOTUS Vibration Cover Set (Burgundy - Ivory),9.0,43.0,25.0,15.0,95.0
KAN-TCHRCVR-27-CPOIV,SHIATSULOGIC - LOTUS Vibration Cover Set (Cappuccino - Ivory),9.0,43.0,25.0,15.0,95.0
KAN-TCHRCVR-27-GYIV,SHIATSULOGIC - LOTUS Vibration Cover Set (Grey - Ivory),9.0,43.0,25.0,15.0,95.0
KAN-TCHRCVR-27-RDIV - Void,SHIATSULOGIC - LOTUS Vibration Cover Set (Red - Ivory),9.0,43.0,25.0,15.0,95.0
KAN-TCHRCVR-81-BLK,SHIATSULOGIC - FIOR Vibration Cover Set (Black),9.0,43.0,25.0,15.0,120.0
KAN-TCHRCVR-81-CA - Void,SHIATSULOGIC - FIOR Vibration Cover Set (Cashmere),9.0,43.0,25.0,15.0,120.0
KAN-TCHRCVR-81-RD,SHIATSULOGIC - FIOR Vibration Cover Set (Red),9.0,43.0,25.0,15.0,120.0
00-SSI-HS-5,Pedicure Spa Plumbing - Hose,1.0,6.0,6.0,1.0,5.0
00-KAN-TCHRARM-907,907D Armrest with Tray,9.0,82.0,15.0,25.0,95.0
00-SSI-HS-8,Pedicure Spa Plumbing - Hose 1/2F x 3/8F,1.0,6.0,6.0,1.0,6.25
00-WAT-HS-1,Stainless Steel Hose - 1' x 1/2 F x 3/8 F,1.0,6.0,6.0,1.0,3.25
00-WAT-HS-5,Stainless Steel Hose - 5' x 1/2 F x 1/2 F,1.0,6.0,6.0,1.0,5.0
00-WAT-HS-8 - inactive,Stainless Steel Hose - 8' x 1/2 F x 3/8 F,1.0,6.0,6.0,1.0,6.5
HON-APCHR-3208-BLK,HERMAN All Purpose Chair,25.5,25.5,23.0,83.5,228.0
HON-BWSH-289671-BLK,ARON Backwash - Shampoo Bed,32.25,42.75,26.5,88.0,400.0
KAN-TCHR-906D-BLK,BEAUTYMALL Massage Chair,25.0,42.0,31.0,136.0,472.0
00-HON-SMPO-2896-BLK,ARON - METTE Backwash Units Shampoo Bowl (Black),13.0,25.0,24.0,45.0,139.0
JAT-NTBL-600-C,VERONA Triple Manicure Table - Bases,29.5,16.5,19.75,79.0,0.0
00-HON-SMPO-2896-WH - Void,ARON - METTE Backwash Units Shampoo Bowl (White),13.0,25.0,24.0,38.0,140.0
HAI-PDSTL-10612-CRM,UMI Pedicure Stool (Cream),19.0,21.0,13.0,16.0,40.0
HON-BWSH-289677-WH,METTE Backwash - Shampoo Bed,41.0,28.0,50.0,88.0,400.0
00-HON-SMPO-2911-BLK,KLYNE Backwash Unit - Shampoo Bowl,21.25,14.0,23.25,32.0,139.0
HON-BWSH-2911-BLK,KLYNE Backwash Unit with shampoo bowl,30.75,45.5,27.0,105.0,395.0
HON-SYCHR-2899-BLK,HANS Styling Chair,26.0,25.5,23.0,60.0,159.0
HON-SYCHR-6836-BLK,MALIN Styling Chair,25.5,25.5,22.5,50.0,150.0
